Song,Artist,Date,Streams,Url,Rank
Thunderclouds,"Sia, Diplo, Labrinth, LSD",2019-01-04,"5,216,852",https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP,135
Congratulations,"Post Malone, Quavo",2019-01-04,"5,165,824",https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,136
bellyache,Billie Eilish,2019-01-04,"5,158,934",https://open.spotify.com/track/51NFxnQvaosfDDutk0tams,137
Hope,"The Chainsmokers, Winona Oak",2019-01-04,"5,112,328",https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5,138
Trampoline,SHAED,2019-01-04,"5,106,179",https://open.spotify.com/track/0lsRatBUs9HNIZAmoGABzk,139
Nuketown (feat. Juice WRLD),Ski Mask The Slump God,2019-01-04,"5,095,730",https://open.spotify.com/track/74lnM5V6ecvoTPV0fvptx9,140
Space Cadet (feat. Gunna),Metro Boomin,2019-01-04,"5,066,740",https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz,141
XO Tour Llif3,Lil Uzi Vert,2019-01-04,"5,062,073",https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO,142
ocean eyes,Billie Eilish,2019-01-04,"5,053,800",https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU,143
Love Lies (with Normani),Khalid,2019-01-04,"5,046,447",https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk,144
Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,2019-01-04,"4,999,271",https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,145
Closer,"The Chainsmokers, Halsey",2019-01-04,"4,990,860",https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,146
Jackie Chan,"Tiësto, Dzeko, Preme, Post Malone",2019-01-04,"4,958,852",https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp,147
In My Blood,Shawn Mendes,2019-01-04,"4,919,860",https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH,148
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,2019-01-04,"4,900,006",https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x,149
Noticed,Lil Mosey,2019-01-04,"4,895,807",https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP,150
Puntos Suspensivos,Piso 21,2019-01-04,"4,882,283",https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv,151
Nice For What,Drake,2019-01-04,"4,871,684",https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw,152
Project Dreams,"Marshmello, Roddy Ricch",2019-01-04,"4,870,852",https://open.spotify.com/track/0PowxVSTY2uh1CPc8EPKyX,153
Fine China,"Future, Juice WRLD",2019-01-04,"4,831,602",https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN,154
PPP,Kevin Roldan,2019-01-04,"4,813,396",https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS,155
all my friends,21 Savage,2019-01-04,"4,801,560",https://open.spotify.com/track/4paAidoE8VAemwU4jgCc6l,156
Asesina - Remix,"Brytiago, Daddy Yankee, Ozuna, Darell, Anuel AA",2019-01-04,"4,750,953",https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX,157
Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,2019-01-04,"4,743,748",https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z,158
Thinking out Loud,Ed Sheeran,2019-01-04,"4,733,162",https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,159
Mala Mía,Maluma,2019-01-04,"4,679,598",https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh,160
Yes Indeed,"Lil Baby, Drake",2019-01-04,"4,663,230",https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ,161
Atrasadinha - Ao Vivo,"Felipe Araújo, Ferrugem",2019-01-04,"4,658,627",https://open.spotify.com/track/5EKHbW7mXcAR4hCyS3YXjb,162
Calling My Spirit,Kodak Black,2019-01-04,"4,658,311",https://open.spotify.com/track/2MShy1GSSgbmGUxADNIao5,163
All The Stars (with SZA),Kendrick Lamar,2019-01-04,"4,650,602",https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s,164
Photograph,Ed Sheeran,2019-01-04,"4,617,075",https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,165
Ibiza,"Ozuna, Romeo Santos",2019-01-04,"4,613,470",https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp,166
Sin Pijama,"Becky G, Natti Natasha",2019-01-04,"4,582,266",https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww,167
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,2019-01-04,"4,562,544",https://open.spotify.com/track/5Gu0PDLN4YJeW75PpBSg9p,168
Everybody Dies In Their Nightmares,XXXTENTACION,2019-01-04,"4,560,603",https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7,169
